label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21
navid,-0.05775618180632591,0.2352975606918335,-0.904680073261261,-1.6560529470443726,-0.3448892831802368,-1.537412405014038,0.8921995162963867,-1.605055809020996,0.31347009539604187,-1.5207133293151855,-0.5402682423591614,1.079675555229187,0.45941832661628723,1.1450870037078857,-0.039468973875045776,2.3518447875976562,-0.057089414447546005,-0.02252715639770031,-0.05527682602405548,0.36951079964637756,0.3343372046947479,1.1603385210037231
navid,-0.054495323449373245,0.1776827722787857,-0.8727604746818542,-1.6558003425598145,-0.32888785004615784,-1.5370815992355347,0.8747024536132812,-1.591624140739441,0.3124021589756012,-1.5142298936843872,-0.5049044489860535,1.1211484670639038,0.41852283477783203,1.2043147087097168,-0.03838038071990013,2.344931125640869,-0.05299036204814911,-0.0717921257019043,-0.05295462906360626,0.3113870620727539,0.2997371256351471,1.211071491241455
navid,-0.060764312744140625,0.17953477799892426,-0.8574327826499939,-1.6598612070083618,-0.3200736343860626,-1.5415021181106567,0.8730921149253845,-1.5917142629623413,0.314147412776947,-1.516106128692627,-0.5038163065910339,1.1126247644424438,0.415170818567276,1.2164474725723267,-0.03912175074219704,2.339932680130005,-0.058994095772504807,-0.06997782737016678,-0.058325160294771194,0.3126060366630554,0.29611408710479736,1.2180054187774658
navid,-0.06358261406421661,0.18221569061279297,-0.8627728223800659,-1.6538279056549072,-0.3241574168205261,-1.5385915040969849,0.876122236251831,-1.5966612100601196,0.31507429480552673,-1.5176705121994019,-0.500761866569519,1.1152942180633545,0.41974735260009766,1.2076420783996582,-0.03646840155124664,2.343686580657959,-0.06237757205963135,-0.06802308559417725,-0.05994538962841034,0.31488022208213806,0.2991170585155487,1.2110642194747925
navid,-0.05979720875620842,0.20784524083137512,-0.8857071995735168,-1.6546709537506104,-0.3366357982158661,-1.5366899967193604,0.885299563407898,-1.5977824926376343,0.31703442335128784,-1.516791582107544,-0.5348438620567322,1.0915077924728394,0.4492531418800354,1.1778368949890137,-0.042428769171237946,2.347867965698242,-0.05836271494626999,-0.04734617844223976,-0.05731300264596939,0.3425046503543854,0.3234977126121521,1.1857208013534546
navid,-0.05602061003446579,0.22957497835159302,-0.8993391394615173,-1.6565200090408325,-0.3436586260795593,-1.5365519523620605,0.8862759470939636,-1.6038336753845215,0.3142845034599304,-1.5187464952468872,-0.5449380278587341,1.0830198526382446,0.46024900674819946,1.1498748064041138,-0.042019348591566086,2.3526546955108643,-0.05470556020736694,-0.02851199172437191,-0.054273538291454315,0.3642423748970032,0.3341453969478607,1.1647944450378418
navid,-0.05336928740143776,0.2151656448841095,-0.8842331767082214,-1.6558316946029663,-0.3304382860660553,-1.535835862159729,0.897508978843689,-1.5969750881195068,0.3281927704811096,-1.5162419080734253,-0.5502222180366516,1.0785585641860962,0.44137832522392273,1.1712146997451782,-0.062319766730070114,2.3545444011688232,-0.049774959683418274,-0.04432116076350212,-0.05395972728729248,0.35392943024635315,0.31724032759666443,1.1757984161376953
navid,-0.05771012604236603,0.2114630937576294,-0.8414513468742371,-1.6839038133621216,-0.29246702790260315,-1.5474988222122192,0.9514005780220032,-1.5714064836502075,0.37502679228782654,-1.5080596208572388,-0.5558869242668152,1.03499174118042,0.37828388810157776,1.2183737754821777,-0.1058725044131279,2.3391079902648926,-0.049238476902246475,-0.04378218576312065,-0.06022191420197487,0.34476029872894287,0.2581409215927124,1.2059463262557983
navid,-0.05711378529667854,0.188266783952713,-0.8417882323265076,-1.6713123321533203,-0.29827550053596497,-1.5452736616134644,0.9319525957107544,-1.5711984634399414,0.36241230368614197,-1.509401559829712,-0.5381794571876526,1.0710402727127075,0.38178521394729614,1.2254787683486938,-0.09536220878362656,2.343254804611206,-0.04984734207391739,-0.06626597046852112,-0.05864435434341431,0.32460707426071167,0.2630622684955597,1.2107954025268555
navid,-0.05884638801217079,0.20871137082576752,-0.8711581826210022,-1.663195013999939,-0.32503843307495117,-1.5430840253829956,0.8918582797050476,-1.590785264968872,0.3266959488391876,-1.5175777673721313,-0.5284649133682251,1.0931984186172485,0.4296574592590332,1.1822632551193237,-0.05968281254172325,2.350008010864258,-0.05529505014419556,-0.046811312437057495,-0.05790208652615547,0.34405410289764404,0.3081762194633484,1.1832146644592285
navid,-0.060234759002923965,0.22358709573745728,-0.8993694186210632,-1.649038553237915,-0.350403368473053,-1.538542628288269,0.8639591336250305,-1.6146345138549805,0.29889994859695435,-1.5267136096954346,-0.5118919014930725,1.1151732206344604,0.45950964093208313,1.1581803560256958,-0.021183865144848824,2.3428494930267334,-0.060747213661670685,-0.0348537303507328,-0.0561772882938385,0.3600229322910309,0.33763641119003296,1.163969874382019
navid,-0.06291648000478745,0.2328169196844101,-0.9091156721115112,-1.643881916999817,-0.35583099722862244,-1.5359814167022705,0.8612245917320251,-1.621399998664856,0.291117399930954,-1.528732180595398,-0.5113032460212708,1.1095529794692993,0.47226184606552124,1.1427090167999268,-0.011961273849010468,2.3480403423309326,-0.06497786939144135,-0.02665865793824196,-0.057026974856853485,0.3686268627643585,0.3485354781150818,1.1549148559570312
navid,-0.0586269348859787,0.23351305723190308,-0.9089930057525635,-1.6474529504776,-0.3530806303024292,-1.5339956283569336,0.8683173060417175,-1.620221495628357,0.29702842235565186,-1.5257256031036377,-0.5245791077613831,1.1061509847640991,0.4700753390789032,1.1416264772415161,-0.021772539243102074,2.3458800315856934,-0.05972222983837128,-0.025710880756378174,-0.05431396886706352,0.3689205050468445,0.345665842294693,1.1570254564285278
navid,-0.056868743151426315,0.22717708349227905,-0.9055361747741699,-1.6516457796096802,-0.34973421692848206,-1.5348355770111084,0.8731481432914734,-1.612717628479004,0.30237388610839844,-1.5220433473587036,-0.5306462049484253,1.10671865940094,0.46631625294685364,1.1487987041473389,-0.030049772933125496,2.3443188667297363,-0.05703217163681984,-0.031364038586616516,-0.053811654448509216,0.3632296025753021,0.341837614774704,1.1623611450195312
navid,-0.05683803930878639,0.2241024374961853,-0.9011922478675842,-1.6555681228637695,-0.34722429513931274,-1.5373499393463135,0.8716833591461182,-1.6105468273162842,0.30231520533561707,-1.5227261781692505,-0.5219577550888062,1.1094872951507568,0.45767566561698914,1.1577121019363403,-0.02879076823592186,2.3397085666656494,-0.05691341310739517,-0.03374414145946503,-0.05380193144083023,0.3591388463973999,0.33505183458328247,1.1697860956192017
navid,-0.04970546439290047,0.187727153301239,-0.8889181017875671,-1.645538091659546,-0.3457745313644409,-1.537029504776001,0.8465052843093872,-1.6072113513946533,0.29118335247039795,-1.5228825807571411,-0.48983636498451233,1.1381536722183228,0.43417999148368835,1.186544418334961,-0.015269552357494831,2.3451762199401855,-0.0503859706223011,-0.06391353160142899,-0.04783536493778229,0.3213322162628174,0.31585779786109924,1.1976398229599
